0X04FF00 0X1C
0X04FF01 0X23
0X04FF02 0XC3
0X04FF03 0X02
0X04FF04 0X78
0X04FF05 0X5C
0X04FF06 0X02
0X04FF07 0X02
0X04FF08 0XB7
0X04FF09 0XB1
0X04FF0A 0XDE
0X04FF0B 0X98
0X04FF0C 0X02
0X04FF0D 0X71
0X04FF0E 0X66
0X04FF0F 0X7F
0X04FF10 0X15
0X04FF11 0XA1
0X04FF12 0XD3
0X04FF13 0X45
0X04FF14 0X18
0X04FF15 0X5F
0X04FF16 0X15
0X04FF17 0X09
0X04FF18 0XAB
0X04FF19 0XBC
0X04FF1A 0X2C
0X04FF1B 0X02
0X04FF1C 0X37
0X04FF1D 0X18
0X04FF1E 0XB4
0X04FF1F 0XB0
0X04FF20 0XD5
0X04FF21 0XF2
0X04FF22 0X2E
0X04FF23 0X0D
0X04FF24 0X37
0X04FF25 0XCD
0X04FF26 0X63
0X04FF27 0X47
0X04FF28 0X97
0X04FF29 0X1B
0X04FF2A 0X61
0X04FF2B 0X6E
0X04FF2C 0X70
0X04FF2D 0XE7
0X04FF2E 0X58
0X04FF2F 0X47
0X04FF30 0XBD
0X04FF31 0X36
0X04FF32 0XA2
0X04FF33 0X9E
0X04FF34 0XA0
0X04FF35 0X00
0X04FF36 0X15
0X04FF37 0XC1
0X04FF38 0X8A
0X04FF39 0XBF
0X04FF3A 0XB0
0X04FF3B 0XB8
0X04FF3C 0X4F
0X04FF3D 0X48
0X04FF3E 0XC7
0X04FF3F 0X29
0X04FF40 0X55
0X04FF41 0XA1
0X04FF42 0X4A
0X04FF43 0X02
0X04FF44 0X87
0X04FF45 0XF8
0X04FF46 0X02
0X04FF47 0XDA
0X04FF48 0X30
0X04FF49 0X44
0X04FF4A 0X9E
0X04FF4B 0X7E
0X04FF4C 0X56
0X04FF4D 0X94
0X04FF4E 0X92
0X04FF4F 0XE9
0X04FF50 0X1D
0X04FF51 0X48
0X04FF52 0XEA
0X04FF53 0X51
0X04FF54 0X35
0X04FF55 0X32
0X04FF56 0X45
0X04FF57 0XF4
0X04FF58 0XB6
0X04FF59 0X3E
0X04FF5A 0XBB
0X04FF5B 0XB8
0X04FF5C 0X22
0X04FF5D 0X9F
0X04FF5E 0X3B
0X04FF5F 0X90
0X04FF60 0X02
0X04FF61 0XB2
0X04FF62 0XDA
0X04FF63 0XF6
0X04FF64 0X9F
0X04FF65 0X4A
0X04FF66 0XD8
0X04FF67 0XB0
0X04FF68 0X5D
0X04FF69 0XE6
0X04FF6A 0X4D
0X04FF6B 0X08
0X04FF6C 0X91
0X04FF6D 0X3A
0X04FF6E 0X31
0X04FF6F 0XE7
0X04FF70 0X49
0X04FF71 0X02
0X04FF72 0XF5
0X04FF73 0X54
0X04FF74 0X53
0X04FF75 0XFE
0X04FF76 0X02
0X04FF77 0XBF
0X04FF78 0X71
0X04FF79 0X98
0X04FF7A 0X8C
